ID,Temporada,Liga,Data,Hora,Status,Casa,Fora,Gols Casa,Gols Fora,ID Casa,ID Fora,ID Rodada,Semana,revised_game_week,Momentos Gols Casa,Momentos Gols Fora,Total Gols,Escanteios Casa,Escanteios Fora,totalCornerCount,Impedimentos Casa,Impedimentos Fora,Amarelos Casa,Amarelos Fora,Vermelhos Casa,Vermelhos Fora,Chutes no Gol Casa,Chutes no Gol Fora,Chutes Fora Casa,Chutes Fora Fora,Total Chutes Casa,Total Chutes Fora,Faltas Casa,Faltas Fora,Posse Casa %,Posse Fora %,ID Árbitro,ID Técnico Casa,ID Técnico Fora,Estádio,Local,Total Cartões Casa,Total Cartões Fora,Odd 1,Odd X,Odd 2,BTTS Sim,BTTS Não,CS Casa Sim,CS Casa Não,CS Fora Sim,CS Fora Não,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,odds_1st_half_result_1,odds_1st_half_result_x,odds_1st_half_result_2,odds_2nd_half_result_1,odds_2nd_half_result_x,odds_2nd_half_result_2,odds_dnb_1,odds_dnb_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2,odds_team_to_score_first_1,odds_team_to_score_first_x,odds_team_to_score_first_2,odds_win_to_nil_1,odds_win_to_nil_2,odds_1st_half_over05,odds_1st_half_over15,odds_1st_half_over25,odds_1st_half_over35,odds_1st_half_under05,odds_1st_half_under15,odds_1st_half_under25,odds_1st_half_under35,odds_2nd_half_over05,odds_2nd_half_over15,odds_2nd_half_over25,odds_2nd_half_over35,odds_2nd_half_under05,odds_2nd_half_under15,odds_2nd_half_under25,odds_2nd_half_under35,odds_btts_1st_half_yes,odds_btts_1st_half_no,odds_btts_2nd_half_yes,odds_btts_2nd_half_no,Gols Totais,Gols HT Casa,Gols HT Fora,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,Total Gols HT,Vencedor,Sem Mando,Potencial BTTS,btts_fhg_potential,btts_2hg_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,Potencial +4.5,Potencial +3.5,Potencial +2.5,Potencial +1.5,o05_potential,Potencial +1.5 HT,Potencial +0.5 HT,o05_2H_potential,o15_2H_potential,Potencial Escanteios,Potencial Impedimentos,Potencial Cartões,Média Potencial,home_url,home_image,away_url,away_image,PPG Casa,PPG Fora,PPG Casa Pré-Jogo,PPG Fora Pré-Jogo,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,Potencial -4.5,Potencial -3.5,Potencial -2.5,Potencial -1.5,u05_potential,Potencial +8.5 Escanteios,Potencial +9.5 Escanteios,Potencial +10.5 Escanteios,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,match_url,ID Competição,matches_completed_minimum,+0.5 Gols,+1.5 Gols,+2.5 Gols,+3.5 Gols,+4.5 Gols,+5.5 Gols,BTTS,homeGoals_timings,awayGoals_timings,image_league,home_position,away_position,home_team,away_team,home_odds,draw_odds,away_odds,Over 0.5,Over 1.5,Over 2.5,Over 3.5,Over 4.5,Under 0.5,Under 1.5,Under 2.5,Under 3.5,Under 4.5
7486483,2024/2025,Romania Liga I,2024-08-11,16:00:00,complete,CFR Cluj,Unirea Slobozia,3,0,6622,6670,110592,5,-1,"38,52,63,",,3,3,2,5,0,1,2,2,0,0,7,2,5,4,17,7,22,17,51,49,17287.0,2000.0,26266.0,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca),,2,2,1.48,3.92,6.2,2.05,1.72,1.85,1.85,5.0,1.13,1.06,1.17,2.55,2.0,2.2,6.0,1.8,2.6,5.5,0,0,1.29,1.53,1.98,2.48,3.35,3.15,2.28,1.82,1.45,1.26,1.26,10.0,4.86,1.39,8.9,3.68,2.2,11.0,1.39,2.86,7.2,15.0,2.8,1.39,1.07,1.01,1.25,2.14,4.75,12.5,3.72,1.64,1.17,1.02,0,0,0,0,3,1,0,2,0,2,1,6622,0,5900%,4200%,1700%,0,-1,1,1,2,2,1,0,4,1,0,0,2,2,0,4,1,45,32,65,54,1.57,0.75,2.32,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,26,23,-1,-1,-1,1,4,5,3400%,3400%,3400%,7500%,10000%,4200%,8400%,5000%,5000%,800%,350%,533%,275%,/clubs/scs-cfr-1907-cluj-6622,teams/romania-scs-cfr-1907-cluj.png,/clubs/fc-unirea-2004-slobozia-6670,teams/romania-fc-unirea-2004-slobozia.png,2.06,0.88,1.0,2.0,1.0,1.25,6700%,6700%,6700%,2500%,0%,5900%,4200%,2500%,1.73,1.54,3.27,/romania/scs-cfr-1907-cluj-vs-fc-unirea-2004-slobozia-h2h-stats#7486483,12495,32,Sim,Sim,Sim,Não,Não,Não,Não,"38,52,63,",,https://cdn.footystats.org/img/competitions/romania-liga-i.png,,,CFR Cluj,Unirea Slobozia,1.48,3.92,6.2,1.02,1.3,2.05,3.4,6.15,8.9,3.3,1.68,1.28,1.07
7502610,2024/2025,Portugal LigaPro,2024-08-11,16:30:00,complete,União de Leiria,FC Vizela,0,2,4880,4841,110957,1,-1,",32,90+6",,2,5,5,10,1,1,3,3,0,0,3,5,4,8,7,13,11,13,45,55,52434.0,,,Estádio Dr. Magalhães Pessoa (Leiria),,3,3,3.05,3.1,2.41,1.73,2.0,3.4,1.29,2.9,1.36,1.55,1.34,1.36,3.6,2.1,3.0,3.38,2.38,2.65,0,0,1.18,1.35,1.59,2.0,2.45,4.3,2.9,2.2,1.8,1.49,2.06,6.55,2.14,2.25,7.8,1.8,5.0,3.9,1.44,3.0,9.0,23.0,2.63,1.36,1.07,1.01,1.26,2.2,4.85,13.0,3.62,1.63,1.16,1.04,0,0,0,0,2,0,1,0,1,1,1,4841,0,0%,0%,0%,0,-1,1,1,5,1,0,4,6,4,1,1,2,2,2,4,1,48,64,98,144,1.01,1.65,2.66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,/clubs/ud-leiria-4880,teams/portugal-ud-leiria.png,/clubs/fc-vizela-4841,teams/portugal-fc-vizela.png,1.54,1.54,0.0,0.0,0.0,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0.0,0.0,0.0,/portugal/fc-vizela-vs-ud-leiria-h2h-stats#7502610,12585,27,Sim,Sim,Não,Não,Não,Não,Não,",32,90+6",,https://cdn.footystats.org/img/competitions/portugal-ligapro.png,,,União de Leiria,FC Vizela,3.05,3.1,2.41,1.07,1.32,1.99,3.4,6.5,6.8,3.1,1.68,1.27,1.07
7502612,2024/2025,Portugal LigaPro,2024-08-10,07:00:00,complete,CS Marítimo,CD Tondela,2,2,177,169,110957,1,-1,"20,90+2,24,27",,4,5,5,10,3,2,1,4,0,0,8,5,3,6,11,12,17,21,59,41,51717.0,,,Estádio do Marítimo (Funchal (Ilha da Madeira)),,1,4,1.6,3.5,5.25,2.05,1.73,2.0,1.73,4.75,1.15,1.14,1.23,2.25,2.16,2.26,6.34,1.95,2.6,5.19,0,0,1.18,1.33,1.51,1.98,2.35,4.33,3.0,2.37,1.82,1.52,1.31,8.0,4.6,1.48,9.0,3.2,2.5,8.5,1.42,3.12,9.0,26.0,2.84,1.36,1.07,1.01,1.25,2.2,4.9,11.0,3.6,1.59,1.14,1.03,0,0,0,0,4,1,2,1,0,1,3,-1,0,0%,0%,0%,0,-1,1,1,2,2,3,3,4,6,1,0,0,4,1,4,1,56,52,95,84,1.66,1.42,3.08,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,23,22,-1,-1,-1,-1,-1,-1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,/clubs/cs-maritimo-funchal-177,teams/portugal-cs-maritimo-funchal.png,/clubs/cd-tondela-169,teams/portugal-cd-tondela.png,0.92,1.64,0.0,0.0,0.0,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0.0,0.0,0.0,/portugal/cd-tondela-vs-cs-maritimo-funchal-h2h-stats#7502612,12585,27,Sim,Sim,Sim,Sim,Não,Não,Sim,"20,90+2,24,27",,https://cdn.footystats.org/img/competitions/portugal-ligapro.png,,,CS Marítimo,CD Tondela,1.6,3.5,5.25,1.04,1.33,2.0,3.6,6.5,8.5,3.0,1.73,1.25,1.08
7467783,2024/2025,Russia Russian Premier League,2024-08-10,09:00:00,complete,Lokomotiv Moskva,Makhachkala,2,0,920,668267,110060,4,-1,"10,64,",,2,5,9,14,1,2,1,1,0,0,3,5,5,5,14,12,13,13,47,53,31656.0,8656.0,3303.0,RZD Arena (Moskva),,1,1,1.53,4.1,5.8,2.05,1.74,0.0,0.0,0.0,0.0,1.11,1.22,2.82,1.96,2.34,6.65,1.76,2.78,6.25,0,0,1.15,1.31,1.52,1.85,2.3,4.7,3.2,2.36,1.85,1.55,1.52,8.4,3.1,1.41,9.8,3.64,0.0,0.0,1.37,2.73,6.8,0.0,3.04,1.44,1.1,0.0,1.23,2.06,4.4,0.0,4.05,1.74,1.2,0.0,0,0,0,0,2,1,0,1,0,1,1,920,0,7500%,5000%,0%,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,2,1,46,44,94,96,1.06,1.31,2.36,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,1,24,22,1,14,14,1,8,10,5000%,5000%,5000%,7500%,7500%,5000%,7500%,7500%,0%,1400%,300%,350%,300%,/clubs/fk-lokomotiv-moskva-920,teams/russia-fk-lokomotiv-moskva.png,/clubs/fk-makhachkala-668267,teams/russia-fk-makhachkala.png,2.27,0.73,3.0,1.0,2.0,0.67,5000%,5000%,5000%,2500%,2500%,10000%,10000%,10000%,2.18,1.12,3.3,/russia/fk-lokomotiv-moskva-vs-fk-makhachkala-h2h-stats#7467783,12335,22,Sim,Sim,Não,Não,Não,Não,Não,"10,64,",,https://cdn.footystats.org/img/competitions/russia-russian-premier-league.png,,,Lokomotiv Moskva,Makhachkala,1.53,4.1,5.8,1.01,1.25,1.85,3.02,5.5,9.8,3.56,1.92,1.33,1.1
7486485,2024/2025,Romania Liga I,2024-08-10,11:00:00,complete,Hermannstadt,Botoşani,2,1,6638,6621,110592,5,-1,"79,90+2,45+3",,3,8,1,9,4,0,2,3,0,0,3,5,3,5,9,11,13,13,63,37,45892.0,11461.0,8456.0,Stadionul Municipal (Sibiu),,2,3,2.06,3.04,3.78,2.15,1.66,2.25,1.57,3.2,1.3,1.25,1.3,1.68,2.8,1.9,4.2,2.5,2.2,3.75,0,0,1.35,1.69,2.13,2.79,4.2,2.84,2.12,1.68,1.36,1.17,1.75,7.5,2.45,1.78,6.4,2.59,3.0,5.5,1.56,3.62,10.0,41.0,2.31,1.26,1.03,0.0,1.36,2.6,6.6,17.0,2.99,1.44,1.09,1.02,0,0,0,0,3,0,1,2,0,2,1,6638,0,2500%,2500%,0%,0,-1,1,1,7,0,1,1,7,2,0,1,2,2,1,4,1,76,35,106,72,1.15,1.24,2.38,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,36,22,-1,-1,-1,1,8,9,0%,0%,0%,2500%,7500%,2500%,5000%,2500%,0%,600%,200%,700%,100%,/clubs/afc-hermannstadt-6638,teams/romania-afc-hermannstadt.png,/clubs/afc-botosani-6621,teams/romania-afc-botosani.png,1.75,0.94,1.0,1.5,0.5,1.0,10000%,10000%,10000%,7500%,2500%,5000%,2500%,2500%,1.21,0.9,2.11,/romania/afc-botosani-vs-afc-hermannstadt-h2h-stats#7486485,12495,32,Sim,Sim,Sim,Não,Não,Não,Sim,"79,90+2,45+3",,https://cdn.footystats.org/img/competitions/romania-liga-i.png,,,Hermannstadt,Botoşani,2.06,3.04,3.78,1.1,1.5,2.37,4.5,9.5,6.0,2.4,1.48,1.18,1.01
